"Model","Runtime","Parameters","AIC","InSample","OutOfSample"
"GLM6 (splines+interact)","54s",82,250247,30.79533,31.69601
"GLM8 (optimised)","56s",81,250246,30.7954,31.69702
"GLM4 (interactions)","54s",81,250762,30.88,31.75175
"GLM5 (splines)","28s",50,252550,31.18318,32.11724
"Model GLM1","20s",49,253062,31.26738,32.17123
"Model GLM2","19s",48,253060,31.26742,32.17196
"Model GLM3","14s",38,253108,31.27852,32.18196
"GLM7 (polynomials)","22s",47,253347,31.31484,32.23949
"Homogeneous model","3s",1,263143,32.93518,33.86149
