epoch,train_loss,val_loss
1,0.20554322004318237,0.21079742908477783
2,0.20493389666080475,0.21058520674705505
3,0.20457184314727783,0.210316002368927
4,0.20442968606948853,0.21014532446861267
5,0.20417310297489166,0.20997148752212524
6,0.20396506786346436,0.20982742309570312
7,0.20388053357601166,0.20961904525756836
8,0.20365367829799652,0.20947998762130737
9,0.2035692185163498,0.20938700437545776
10,0.20340953767299652,0.20925988256931305
11,0.20337173342704773,0.20918743312358856
12,0.20314858853816986,0.20902960002422333
13,0.20309965312480927,0.2089693695306778
14,0.20302867889404297,0.2089061141014099
15,0.20292001962661743,0.2089078277349472
16,0.20281828939914703,0.20880229771137238
17,0.2027289718389511,0.20875316858291626
18,0.2026052474975586,0.20873159170150757
19,0.20248772203922272,0.20870152115821838
20,0.20245876908302307,0.20863209664821625
21,0.20246422290802002,0.2086561918258667
22,0.20233045518398285,0.20854678750038147
23,0.2022048532962799,0.20854899287223816
24,0.20223523676395416,0.2085726261138916
25,0.20210213959217072,0.2086072564125061
26,0.2022126317024231,0.20849372446537018
27,0.2020031213760376,0.20849277079105377
28,0.20201177895069122,0.20849040150642395
29,0.20194517076015472,0.20842377841472626
30,0.2018556296825409,0.20844608545303345
31,0.20183348655700684,0.20843374729156494
32,0.20179100334644318,0.20842422544956207
33,0.20172369480133057,0.20843727886676788
34,0.20178090035915375,0.20835642516613007
35,0.20154909789562225,0.2085014432668686
36,0.2016076296567917,0.2084004282951355
37,0.20155568420886993,0.2083619236946106
38,0.201494961977005,0.20833848416805267
39,0.2014857828617096,0.20842799544334412
40,0.201553076505661,0.20842349529266357
41,0.20145249366760254,0.20833633840084076
42,0.20132021605968475,0.20835915207862854
43,0.20123112201690674,0.20828093588352203
44,0.20142005383968353,0.20831793546676636
45,0.20130589604377747,0.20829170942306519
46,0.2012455314397812,0.2082834392786026
47,0.20121289789676666,0.20825712382793427
48,0.2012845277786255,0.2082475870847702
49,0.20115169882774353,0.20833967626094818
50,0.2012649029493332,0.208267942070961
