epoch,train_loss,val_loss
1,0.25499099493026733,0.21660754084587097
2,0.21421928703784943,0.21520453691482544
3,0.2131195217370987,0.21465496718883514
4,0.21208491921424866,0.2143121212720871
5,0.211910679936409,0.21404464542865753
6,0.21120552718639374,0.21389412879943848
7,0.21115878224372864,0.21374304592609406
8,0.21077470481395721,0.21362261474132538
9,0.21063359081745148,0.21350409090518951
10,0.21034888923168182,0.21336424350738525
11,0.21002624928951263,0.21325039863586426
12,0.21005307137966156,0.21306230127811432
13,0.20976078510284424,0.2128545194864273
14,0.20916825532913208,0.2125580608844757
15,0.20891231298446655,0.21226924657821655
16,0.20852030813694,0.21203811466693878
17,0.2080664485692978,0.21169225871562958
18,0.20758935809135437,0.21133120357990265
19,0.20746490359306335,0.2111022174358368
20,0.20692583918571472,0.21081821620464325
21,0.20669806003570557,0.21052123606204987
22,0.20658941566944122,0.2103094905614853
23,0.20630033314228058,0.21010653674602509
24,0.2057148814201355,0.20983441174030304
25,0.20569048821926117,0.20977362990379333
26,0.2053825408220291,0.20953312516212463
27,0.20542582869529724,0.2094152718782425
28,0.20504693686962128,0.2092939019203186
29,0.20499946177005768,0.20919784903526306
30,0.20481693744659424,0.20911504328250885
31,0.20481783151626587,0.20899344980716705
32,0.20452570915222168,0.20898976922035217
33,0.20439597964286804,0.20889192819595337
34,0.20437225699424744,0.20882196724414825
35,0.2042846828699112,0.20872965455055237
36,0.20421424508094788,0.2086820900440216
37,0.2040002942085266,0.2086688131093979
38,0.2040405422449112,0.20861311256885529
39,0.2038128823041916,0.20856519043445587
40,0.20390239357948303,0.20853127539157867
41,0.2037505954504013,0.20853249728679657
42,0.20347057282924652,0.20845720171928406
43,0.20350715517997742,0.20840640366077423
44,0.20349682867527008,0.20840251445770264
45,0.20335730910301208,0.2083342969417572
46,0.20316968858242035,0.2083718478679657
47,0.2032776176929474,0.2083999663591385
48,0.20300336182117462,0.20828476548194885
49,0.20305950939655304,0.20839986205101013
50,0.20297551155090332,0.20835667848587036
